Ticker,Company
7169.KL,DOMINAN
0080.KL,STRAITS
2445.KL,KLK
0283.KL,DCHCARE
5035.KL,KNUSFOR
5075.KL,PLENITU
0095.KL,MAG
5183.KL,PCHEM
0017.KL,XOXTECH
0120.KL,VIS
7172.KL,PMBTECH
3379.KL,INSAS
5015.KL,APM
7121.KL,XL
6769.KL,JKGLAND
0285.KL,MERSEC
5288.KL,SIMEPROP
5243.KL,VELESTO
7227.KL,UMSNGB
9962.KL,GMUTUAL
2569.KL,SBAGAN
8206.KL,ECOWLD
9423.KL,CWG
3055.KL,DSR
5247.KL,KAREX
0292.KL,JTGROUP
2453.KL,KLUANG
2097.KL,MBRIGHT
7232.KL,RESINTC
5041.KL,PBA
7722.KL,ASIABRN
5185.KL,AFFIN
0158.KL,SCC
7203.KL,WANGZNG
5011.KL,MSNIAGA
2984.KL,FACBIND
2852.KL,CMSB
2429.KL,TANCO
0176.KL,KRONO
7198.KL,DPS
3023.KL,SMILE
3019.KL,MPSOL
5005.KL,UNISEM
7062.KL,KHIND
5269.KL,ALSREIT
6971.KL,KOBAY
0219.KL,RL
6718.KL,CRESNDO
5065.KL,ORNA
7668.KL,BESHOM
9938.KL,BRIGHT
4715.KL,GENM
5107.KL,IQGROUP
6521.KL,SURIA
4359.KL,TURIYA
5568.KL,APB
1619.KL,DRBHCOM
3174.KL,L&G
3336.KL,IJM
7374.KL,TIENWAH
3107.KL,FIMACOR
5242.KL,SOLID
0150.KL,FINTEC
3905.KL,MULPHA
8303.KL,LOTUS
0218.KL,ACO
7757.KL,UPA
7184.KL,G3
2224.KL,SDRED
2038.KL,NSOP
7439.KL,TECGUAN
0091.KL,PGB
5249.KL,IOIPG
7323.KL,KEN
5299.KL,IGBCR
8346.KL,PRKCORP
5220.KL,GLOTEC
0173.KL,CATCHA
3182.KL,GENTING
0199.KL,TRIMODE
6602.KL,BCB
5073.KL,NAIM
7222.KL,IMASPRO
4286.KL,SEAL
5226.KL,GBGAQRS
4316.KL,SHCHAN
7180.KL,SERNKOU
7241.KL,NGGB
6173.KL,BDB
0235.KL,NESTCON
7117.KL,CJCEN
2593.KL,UMCCA
7140.KL,OKA
7245.KL,CITAGLB
5071.KL,COASTAL
1503.KL,GUOCO
0284.KL,GLXT
0049.KL,OCNCASH
7200.KL,TEKSENG
0211.KL,TASHIN
0126.KL,MICROLN
0231.KL,FLEXI
8664.KL,SPSETIA
0298.KL,WENTEL
7173.KL,TOYOVEN
5167.KL,TURBO
1651.KL,MRCB
7006.KL,RKI
5313.KL,RADIUM
6149.KL,METROD
7082.KL,M&A
5070.KL,PRTASCO
5088.KL,APEX
0190.KL,ESAFE
5517.KL,SHANG
6912.KL,PASDEC
7003.KL,Y&G
5049.KL,CVIEW
5196.KL,BJFOOD
1368.KL,EDGENTA
2054.KL,TDM
3298.KL,HEXZA
9571.KL,MITRA
5105.KL,CANONE
2542.KL,RVIEW
3867.KL,MPI
0023.KL,IFCAMSC
0252.KL,ORGABIO
5222.KL,FGV
5120.KL,AMFIRST
8486.KL,LIONPSIM
5047.KL,NPC
3948.KL,DUTALND
5020.KL,GLOMAC
5062.KL,HUAYANG
5576.KL,MINHO
9016.KL,EKSONS
7086.KL,ABLEGRP
5237.KL,MPHBCAP
5255.KL,ICON
3743.KL,SUNSURIA
9601.KL,HWGB
7099.KL,MAYU
7079.KL,TWL
9539.KL,MUH
5081.KL,EIG
5056.KL,ENGTEX
5006.KL,VARIA
0189.KL,MATANG
7047.KL,FAJAR
4995.KL,VERSATL
0123.KL,PRIVA
5010.KL,TONGHER
5007.KL,CHINWEL
6084.KL,STAR
9083.KL,JETSON
9741.KL,ROHAS
5148.KL,UEMS
7145.KL,AGES
4022.KL,MAXIM
0289.KL,PLYTEC
4251.KL,IBHD
5171.KL,KIMLUN
7211.KL,TAFI
8893.KL,MKLAND
4723.KL,JAKS
7028.KL,ZECON
7073.KL,SEACERA
5068.KL,LUSTER
5843.KL,KPS
7202.KL,HEXRTL
5622.KL,PEB
6807.KL,PUNCAK
5022.KL,PAOS
6068.KL,PCCS
0153.KL,OVERSEA
0035.KL,HEXCAP
0170.KL,KANGER
0206.KL,NADIBHD
5127.KL,ARREIT
7249.KL,EWEIN
9628.KL,LEBTECH
4219.KL,BJLAND
5108.KL,ICAP
7163.KL,PJBUMI
7153.KL,KOSSAN
9814.KL,BERTAM
4057.KL,ASIAPAC
9717.KL,SYCAL
7013.KL,HUBLINE
0111.KL,K1
5239.KL,TITIJYA
5098.KL,MASTEEL
0093.KL,SOLUTN
3011.KL,AMLEX
5087.KL,MYCRON
5797.KL,CHOOBEE
8966.KL,TECHBASE
0131.KL,DFX
9954.KL,RGTBHD
5614.KL,ILB
0295.KL,MTEC
9334.KL,KESM
5317.KL,CPETECH
0024.KL,JAG
5320.KL,PLINTAS
5298.KL,OMH
0303.KL,ALPHA
0301.KL,ZANTAT
3002.KL,REDIDEA
7081.KL,PHARMA
7251.KL,BARAKAH
3048.KL,CARZO
3029.KL,GPP
8834.KL,IREKA
5170.KL,SCABLE
5218.KL,SAPNRG
7045.KL,SCOMIES
5115.KL,ALAM
5099.KL,CAPITALA
6203.KL,KHEESAN
1643.KL,LANDMRK
0068.KL,ASDION
7010.KL,PTT
5134.KL,SAB
6556.KL,ANNJOO
5230.KL,TUNEPRO
2135.KL,GOPENG
4936.KL,MALPAC
3611.KL,PGLOBE
0145.KL,TFP
0064.KL,EFFICEN
3557.KL,ECOFIRS
1147.KL,GOB
5136.KL,HEXTECH
3662.KL,MFLOUR
5204.KL,AWANTEC
7132.KL,SMISCOR
8648.KL,JASKITA
5207.KL,SBCCORP
5703.KL,MUHIBAH
0287.KL,SSF
7120.KL,AXTERIA
5016.KL,WARISAN
3001.KL,CLOUD
5156.KL,XDL
0147.KL,INNITY
1589.KL,IWCITY
0280.KL,MBN
5095.KL,HEVEA
9997.KL,PENSONI
7123.KL,PWORTH
2607.KL,INCKEN
0066.KL,VSOLAR
0210.KL,KHJB
5219.KL,PESTECH
8494.KL,LBICAP
0109.KL,SCBUILD
0048.KL,ANCOMLB
0028.KL,SCOPE
6378.KL,WMG
3239.KL,BJASSET
9598.KL,PTARAS
7579.KL,AWC
7016.KL,CHUAN
0086.KL,YGL
5145.KL,SEALINK
3778.KL,MELEWAR
5657.KL,PARKSON
5066.KL,NTPM
7096.KL,JOE
3204.KL,GKENT
7218.KL,TOCEAN
0240.KL,CORAZA
7106.KL,SUPERMX
5104.KL,CNH
0203.KL,SMETRIC
0025.KL,YBS
0282.KL,KGW
6904.KL,SUBUR
7157.KL,CYL
7018.KL,CME
7114.KL,DNONCE
7217.KL,EMETALL
0060.KL,HM
0248.KL,YEWLEE
3891.KL,MUIIND
0266.KL,LEFORM
0094.KL,ZENTECH
3883.KL,MUDA
0074.KL,GOCEAN
4243.KL,WTK
8885.KL,AVI
0129.KL,SRIDGE
5009.KL,WTHORSE
2682.KL,PARKWD
6076.KL,ENCORP
3395.KL,BJCORP
9261.KL,GADANG
6009.KL,P&O
7501.KL,HARNLEN
7080.KL,PERMAJU
5592.KL,GCE
8672.KL,KAMDAR
5202.KL,MSM
7165.KL,VELOCITY
3247.KL,GUH
0018.KL,LAMBO
7053.KL,SEEHUP
5111.KL,TWRREIT
5101.KL,EVERGRN
0162.KL,WIDAD
7854.KL,TIMWELL
5165.KL,DFCITY
7226.KL,WATTA
8192.KL,MERCURY
7382.KL,GLBHD
5401.KL,TROP
0182.KL,LKL
4464.KL,PHB
2127.KL,COMFORT
3158.KL,YNHPROP
5025.KL,AURO
5197.KL,FLBHD
1287.KL,PMHLDG
0043.KL,MTRONIC
5275.KL,MYNEWS
7186.KL,SWSCAP
7154.KL,CLASSITA
0113.KL,MMSV
4405.KL,TCHONG
9393.KL,ITRONIC
5188.KL,CNOUHUA
3018.KL,OLYMPIA
7212.KL,DESTINI
1902.KL,PINEPAC
6041.KL,FARLIM
5223.KL,MENTIGA
1198.KL,MAA
0079.KL,ALRICH
0107.KL,EDUSPEC
5283.KL,EWINT
6254.KL,PDZ
5436.KL,PERSTIM
9148.KL,GBAY
0133.KL,SANICHI
7054.KL,AASIA
8567.KL,SALCON
3573.KL,LIENHOE
8702.KL,TEXCHEM
